long,lat,OBJECTID,WardsPrec,Ward,Precinct,Location2,Location3,Location4
-71.0616162,42.307776812164803,131,Ward 15 Precincts 2 and 3,15,3,FIRE STATION -,7 PARISH STREET., 
-71.06507128,42.308422545195207,132,Ward 15 Precinct 4,15,4,PASCIUCCO APARTMENTS -,330 BOWDOIN STREET., 
-71.07117908,42.299767946946538,133,Ward 15 Precinct 5 and Ward 17 Precinct 2,15,5,UP ACADEMY OF DORCHESTER -,"35 WESTVILLE STREET,",(FORMERLY
-71.05631,42.310050041109463,134,Ward 15 Precinct 6,15,6,SAVIN HILL APARTMENTS -,"130 AUCKLAND STREET,", 
-71.070195,42.35723404015426,135,Ward 15 Precincts 7 and 8,15,7,VIET AID COMMUNITY CENTER -,"42 CHARLES STREET,", 
-71.070195,42.35723404015426,136,Ward 15 Precincts 7 and 8,15,8,VIET AID COMMUNITY CENTER -,"42 CHARLES STREET,", 
-71.05944902,42.304430075330423,137,Ward 15 Precinct 9,15,9,DORCHESTER HOUSE -,"1353 DORCHESTER AVENUE,", 
-71.06222006,42.293958105772184,138,Ward 16 Precincts 1 and 4,16,1,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL,"1669 DORCHESTER AVENUE,",(FORMERLY PATRICK O'HEARN SCHOOL) -
-71.04929904,42.290798890907809,139,Ward 16 Precincts 7 and 10,16,10,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS,"239 NEPONSET AVENUE,",(FORMERLY KNOWN AS SAINT ANN'S SCHOOL)
-71.04765865,42.282376333704072,140,Ward 16 Precincts 11 and 12,16,11,FLORIAN HALL -,"55 HALLET STREET,", 
-71.04765865,42.282376333704072,141,Ward 16 Precincts 11 and 12,16,12,FLORIAN HALL -,"55 HALLET STREET,", 
-71.05311548,42.296636890206429,142,Ward 16 Precinct 2,16,2,NATIONAL GUARD ARMORY -,70 VICTORY ROAD., 
-71.06222006,42.293958105772184,143,Ward 16 Precincts 1 and 4,16,4,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL,"1669 DORCHESTER AVENUE,",(FORMERLY PATRICK O'HEARN SCHOOL) -
-71.04920386,42.294204147057386,144,Ward 16 Precinct 5,16,5,RICHARD J. MURPHY SCHOOL -,"1 WORRELL STREET,", 
-71.04929904,42.290798890907809,145,Ward 16 Precincts 7 and 10,16,7,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS,"239 NEPONSET AVENUE,",(FORMERLY KNOWN AS SAINT ANN'S SCHOOL)
-71.05441187,42.286274552849811,146,Ward 16 Precinct 8,16,8,ADAMS STREET BRANCH LIBRARY -,"690 ADAMS STREET,", 
-71.05319095,42.286541631018288,147,Ward 16 Precinct 9,16,9,THOMAS J. KENNY ELEMENTARY  SCHOOL -,"19 OAKTON AVENUE,", 
-71.15828,42.348860039858046,148,Ward 17 Precincts 1 and 3,17,1,CODMAN SQUARE TECH CENTER -,450 WASHINGTON STREET., 
-71.09119808,42.276046593701587,149,Ward 17 Precincts 7 and 10 and Ward 18 Precinct 2,17,10,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",VOTER ENTRANCE DOOR B & C TO THE LEFT
-71.06956934,42.281253109844222,150,Ward 17 Precincts 4 and 11,17,11,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL) -,"18 CROFTLAND AVENUE,", 
-71.07742997,42.277852129169084,151,Ward 17 Precinct 12,17,12,CHARLES H. TAYLOR ELEMENTARY SCHOOL -,1060 MORTON STREET,", CORNER OF PINE"
-71.06854174,42.273606248783402,152,Ward 17 Precincts 13 and 14,17,13,LOWER MILLS LIBRARY -,"27 RICHMOND STREET,", 
-71.06854174,42.273606248783402,153,Ward 17 Precincts 13 and 14,17,14,LOWER MILLS LIBRARY -,"27 RICHMOND STREET,", 
-71.07117908,42.299767946946538,154,Ward 15 Precinct 5 and Ward 17 Precinct 2,17,2,UP ACADEMY OF DORCHESTER -,"35 WESTVILLE STREET,",(FORMERLY
-71.15828,42.348860039858046,155,Ward 17 Precincts 1 and 3,17,3,CODMAN SQUARE TECH CENTER -,450 WASHINGTON STREET., 
-71.06956934,42.281253109844222,156,Ward 17 Precincts 4 and 11,17,4,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL) -,"18 CROFTLAND AVENUE,", 
-71.0708664,42.287637809681854,157,"Ward 17 Precincts 5, 6 and 8",17,5,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,", 
-71.0708664,42.287637809681854,158,"Ward 17 Precincts 5, 6 and 8",17,6,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,", 
-71.09119808,42.276046593701587,159,Ward 17 Precincts 7 and 10 and Ward 18 Precinct 2,17,7,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",VOTER ENTRANCE DOOR B & C TO THE LEFT
-71.0708664,42.287637809681854,160,"Ward 17 Precincts 5, 6 and 8",17,8,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,", 
-71.07095,42.284240040008704,161,Ward 17 Precinct 9,17,9,CODMAN SQUARE APARTMENTS -,"784 WASHINGTON STREET,", 
-71.07946196,42.272731955701964,162,Ward 18 Precincts 1 and 4,18,1,GROVELAND COMMUNITY,"15 MARY MOORE BEATTY CIRCLE,", 
-71.13533,42.277760039743406,163,Ward 18 Precincts 10 and 11,18,10,PHINEAS BATES ELEMENTARY SCHOOL -,"426 BEECH STREET,", 
-71.13533,42.277760039743406,164,Ward 18 Precincts 10 and 11,18,11,PHINEAS BATES ELEMENTARY SCHOOL -,"426 BEECH STREET,", 
-71.12889087,42.2587978,165,Ward 18 Precincts 12 & 19,18,12,BOSTON TRINITY ACADEMY -,"17 HALE STREET,", 
-71.124802,42.251683039875978,166,Ward 18 Precincts 13 and 18,18,13,THE BLAKE ESTATES -,"1344 HYDE PARK AVENUE,", 
-71.11781,42.265230039778004,167,"Ward 18 Precincts 8, 14 and 15",18,14,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,", 
-71.11781,42.265230039778004,168,"Ward 18 Precincts 8, 14 and 15",18,15,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,", 
-71.11026,42.254000040282207,169,Ward 18 Precinct 16,18,16,BOSTON BAPTIST COLLEGE -,"950 METROPOLITAN AVENUE,", 
-71.12418362,42.243205866152181,170,Ward 18 Precinct 17,18,17,FRANKLIN D. ROOSEVELT K-8 SCHOOL -,"95 NEEDHAM ROAD,", 
-71.124802,42.251683039875978,171,Ward 18 Precincts 13 and 18,18,18,THE BLAKE ESTATES -,"1344 HYDE PARK AVENUE,", 
-71.12889087,42.2587978,172,Ward 18 Precincts 12 & 19,18,19,BOSTON TRINITY ACADEMY -,"17 HALE STREET,", 
-71.09119808,42.276046593701587,173,Ward 17 Precincts 7 and 10 and Ward 18 Precinct 2,18,2,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",VOTER ENTRANCE DOOR B & C TO THE LEFT
-71.13288,42.233890040917046,174,Ward 18 Precinct 20,18,20,HEMENWAY CAMPUS OF THE FRANKLIN D. ROOSEVELT K-8 SCHOOL -,"30 MILLSTONE ROAD,", 
-71.10478149,42.267247381220564,175,Ward 18 Precincts 6 and 21,18,21,JAMES J. CHITTICK ELEMENTARY SCHOOL -,"154 RUSKINDALE ROAD,", 
-71.12705,42.274790039742442,176,Ward 18 Precincts 9 and 22,18,22,GEORGE H. CONLEY ELEMENTARY  SCHOOL -,"450 POPLAR STREET,", 
-71.14443,42.258863039745435,177,Ward 18 Precinct 23,18,23,GEORGETOWNE HOMES COMMUNITY ROOM -,"400A GEORGETOWNE DRIVE,", 
-71.10408884,42.27580669,178,Ward 18 Precinct 3,18,3,MATTAHUNT ELEMENTARY SCHOOL -,100 HEBRON STREET., 
-71.07946196,42.272731955701964,179,Ward 18 Precincts 1 and 4,18,4,GROVELAND COMMUNITY,"15 MARY MOORE BEATTY CIRCLE,", 
-71.10257,42.264570040102086,180,Ward 18 Precinct 5,18,5,HASSAN APARTMENTS -,"705 RIVER STREET,", 
-71.10478149,42.267247381220564,181,Ward 18 Precincts 6 and 21,18,6,JAMES J. CHITTICK ELEMENTARY SCHOOL -,"154 RUSKINDALE ROAD,", 
-71.11774,42.285400040100832,182,Ward 18 Precinct 7,18,7,JOHN D PHILBRICK ELEMENTARY  SCHOOL -,"40 PHILBRICK STREET,", 
-71.11781,42.265230039778004,183,"Ward 18 Precincts 8, 14 and 15",18,8,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,", 
-71.12705,42.274790039742442,184,Ward 18 Precincts 9 and 22,18,9,GEORGE H. CONLEY ELEMENTARY  SCHOOL -,"450 POPLAR STREET,", 
-71.12833,42.285900039809427,185,Ward 19 Precincts 10 and 13,19,10,ROSLINDALE BRANCH LIBRARY -,"4238 WASHINGTON STREET,", 
-71.12133,42.293790039846186,186,Ward 19 Precinct 11,19,11,JOSEPH CALCI TRAINING CENTER -,"25 COLGATE ROAD,", 
-71.1177064,42.29016254,187,Ward 19 Precincts 7 and 12,19,12,WOODBOURNE APARTMENTS -,"6 SOUTHBOURNE ROAD,", 
-71.12833,42.285900039809427,188,Ward 19 Precincts 10 and 13,19,13,ROSLINDALE BRANCH LIBRARY -,"4238 WASHINGTON STREET,", 
-71.13149,42.305580039781454,189,Ward 19 Precinct 2,19,2,JOSEPH P MANNING ELEMENTARY SCHOOL -,"130 LOUDER'S LANE,", 
-71.10433007,42.318231620712446,190,Ward 19 Precinct 4,19,4,NATE SMITH ELDERLY HOUSING -,"155 LAMARTINE STREET,", 
-71.114937,42.315207040081781,191,Ward 19 Precinct 5,19,5,COLLINS APARTMENTS -,"29 POND STREET,", 
-71.10938,42.311740039963205,192,Ward 19 Precinct 6,19,6,BOWDITCH SCHOOL BUILDING -,"82 GREEN STREET,", 
-71.1177064,42.29016254,193,Ward 19 Precincts 7 and 12,19,7,WOODBOURNE APARTMENTS -,"6 SOUTHBOURNE ROAD,", 
-71.11429,42.307260040003598,194,Ward 11 Precincts 9 and 10 and Ward 19 Precincts 8 and 9,19,8,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,", (FORMERLY
-71.11429,42.307260040003598,195,Ward 11 Precincts 9 and 10 and Ward 19 Precincts 8 and 9,19,9,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,", (FORMERLY
-71.13158,42.286760040233226,196,"Ward 20 Precincts 1, 2 and 4",20,1,SAINT NECTARIOS GREEK CHURCH -,39 BELGRADE AVENUE., 
-71.15163,42.277230039724742,197,Ward 20 Precincts 10 and 14,20,10,SAINT GEORGE ORTHODOX CHURCH -,"55 EMMONSDALE ROAD,", 
-71.14933949,42.287012575795487,198,Ward 20 Precinct 11,20,11,ROCHE COMMUNITY CENTER -,"1716 CENTRE STREET,", 
-71.058226,42.322326039953424,199,Ward 20 Precincts 12 and 13,20,12,PATRICK LYNDON K-8 SCHOOL -,"20 MOUNT VERNON STREET,", 
-71.058226,42.322326039953424,200,Ward 20 Precincts 12 and 13,20,13,PATRICK LYNDON K-8 SCHOOL -,"20 MOUNT VERNON STREET,", 
-71.15163,42.277230039724742,201,Ward 20 Precincts 10 and 14,20,14,SAINT GEORGE ORTHODOX CHURCH -,"55 EMMONSDALE ROAD,", 
-71.15613,42.263430038892629,202,Ward 20 Precincts 3 and 15,20,15,LUDWIG VAN BEETHOVEN ELEMENTARY SCHOOL -,"5125 WASHINGTON STREET,", 
-71.16259433,42.27188382977188,203,Ward 20 Precinct 16,20,16,JOYCE KILMER LOWER SCHOOL (K0-3)-,"35 BAKER STREET,", 
-71.15737,42.283550040170155,204,Ward 20 Precincts 17 and 18,20,17,WEST ROXBURY BRANCH LIBRARY -,"1961 CENTRE STREET,", 
-71.15737,42.283550040170155,205,Ward 20 Precincts 17 and 18,20,18,WEST ROXBURY BRANCH LIBRARY -,"1961 CENTRE STREET,", 
-71.13158,42.286760040233226,206,"Ward 20 Precincts 1, 2 and 4",20,2,SAINT NECTARIOS GREEK CHURCH -,39 BELGRADE AVENUE., 
-71.15613,42.263430038892629,207,Ward 20 Precincts 3 and 15,20,3,LUDWIG VAN BEETHOVEN ELEMENTARY SCHOOL -,"5125 WASHINGTON STREET,", 
-71.13158,42.286760040233226,208,"Ward 20 Precincts 1, 2 and 4",20,4,SAINT NECTARIOS GREEK CHURCH -,39 BELGRADE AVENUE., 
-71.16152554,42.278257323170166,209,Ward 20 Precinct 5,20,5,SPRING STREET APARTMENTS -,23 SPRING STREET., 
-71.14839121,42.286822726304628,210,Ward 20 Precinct 8,20,8,AREA E POLICE STATION -,"1708 CENTRE STREET,", 
-71.14105,42.281220039688698,211,Ward 20 Precinct 9,20,9,WOLFGANG A. MOZART ELEMENTARY SCHOOL -,"236 BEECH STREET,", 
-71.09506995,42.346263359135229,212,Ward 5 Precincts 2 and 2A and Ward 21 Precinct 1,21,1,BOSTON ARTS ACADEMY/FENWAY HIGH SCHOOL -,"174 IPSWICH STREET,", 
-71.14355,42.344470039781974,213,Ward 21 Precincts 10 and 11,21,10,WASHINGTON STREET APARTMENTS,"91-95 WASHINGTON STREET,", 
-71.14355,42.344470039781974,214,Ward 21 Precincts 10 and 11,21,11,WASHINGTON STREET APARTMENTS,"91-95 WASHINGTON STREET,", 
-71.1415856,42.342568186210393,215,Ward 21 Precinct 12,21,12,PATRICIA WHITE APARTMENTS -,"20 WASHINGTON STREET,", 
-71.15210913,42.342172384281781,216,Ward 21 Precinct 13,21,13,JEWISH COMMUNITY HOUSING FOR THE ELDERLY,"30 WALLINGFORD ROAD,", 
-71.15474,42.34011004003311,217,"Ward 21 Precincts 14, 15 and 16",21,14,ALEXANDER HAMILTON SCHOOL -,"198 STRATHMORE ROAD,", 
-71.15474,42.34011004003311,218,"Ward 21 Precincts 14, 15 and 16",21,15,ALEXANDER HAMILTON SCHOOL -,"198 STRATHMORE ROAD,", 
-71.15474,42.34011004003311,219,"Ward 21 Precincts 14, 15 and 16",21,16,ALEXANDER HAMILTON SCHOOL -,"198 STRATHMORE ROAD,", 
-71.1035348,42.349000267294748,220,Ward 21 Precinct 2,21,2,BOSTON UNIVERSITY -,111 CUMMINGTON STREET,", ROOM 144,"
-71.13745433,42.353124620241339,221,"Ward 21 Precincts 3, 4, 5, 6 and 7",21,3,JACKSON MANN SCHOOL -,"500 CAMBRIDGE STREET,", 
-71.13745433,42.353124620241339,222,"Ward 21 Precincts 3, 4, 5, 6 and 7",21,4,JACKSON MANN SCHOOL -,"500 CAMBRIDGE STREET,", 
-71.13745433,42.353124620241339,223,"Ward 21 Precincts 3, 4, 5, 6 and 7",21,5,JACKSON MANN SCHOOL -,"500 CAMBRIDGE STREET,", 
-71.13745433,42.353124620241339,224,"Ward 21 Precincts 3, 4, 5, 6 and 7",21,6,JACKSON MANN SCHOOL -,"500 CAMBRIDGE STREET,", 
-71.13745433,42.353124620241339,225,"Ward 21 Precincts 3, 4, 5, 6 and 7",21,7,JACKSON MANN SCHOOL -,"500 CAMBRIDGE STREET,", 
-71.14547,42.350310039889905,226,Ward 21 Precincts 8 and 9 and Ward 22 Precinct 6,21,8,BOSTON GREEN ACADEMY (FORMERLY KNOWN AS WILLIAM HOWARD TAFT SCHOOL) -,"20 WARREN STREET,", 
-71.14547,42.350310039889905,227,Ward 21 Precincts 8 and 9 and Ward 22 Precinct 6,21,9,BOSTON GREEN ACADEMY (FORMERLY KNOWN AS WILLIAM HOWARD TAFT SCHOOL) -,"20 WARREN STREET,", 
-71.12809119,42.360107641762255,228,"Ward 22 Precincts 1, 2 and 5",22,1,HONAN - ALLSTON BRANCH LIBRARY -,"300 NORTH HARVARD STREET,", 
-71.16076,42.352120039720937,229,"Ward 22 Precincts 10, 11 and 12",22,10,LYON UPPER SCHOOL (7-12) (FORMERLY JAMES A. GARFIELD SCHOOL) -,"95 BEECHCROFT STREET,", 
-71.16076,42.352120039720937,230,"Ward 22 Precincts 10, 11 and 12",22,11,LYON UPPER SCHOOL (7-12) (FORMERLY JAMES A. GARFIELD SCHOOL) -,"95 BEECHCROFT STREET,", 
-71.16076,42.352120039720937,231,"Ward 22 Precincts 10, 11 and 12",22,12,LYON UPPER SCHOOL (7-12) (FORMERLY JAMES A. GARFIELD SCHOOL) -,"95 BEECHCROFT STREET,", 
-71.167136,42.350913039713348,232,"Ward 22 Precincts 4, 7 and 13",22,13,OAK SQUARE YMCA -,"615 WASHINGTON STREET,", 
-71.12809119,42.360107641762255,233,"Ward 22 Precincts 1, 2 and 5",22,2,HONAN - ALLSTON BRANCH LIBRARY -,"300 NORTH HARVARD STREET,", 
-71.15342818,42.348245885862461,234,Ward 22 Precinct 3,22,3,VERONICA B. SMITH MULTI-SERVICE SENIOR CENTER -,"20 CHESTNUT HILL AVENUE,", 
-71.167136,42.350913039713348,235,"Ward 22 Precincts 4, 7 and 13",22,4,OAK SQUARE YMCA -,"615 WASHINGTON STREET,", 
-71.12809119,42.360107641762255,236,"Ward 22 Precincts 1, 2 and 5",22,5,HONAN - ALLSTON BRANCH LIBRARY -,"300 NORTH HARVARD STREET,", 
-71.14547,42.350310039889905,237,Ward 21 Precincts 8 and 9 and Ward 22 Precinct 6,22,6,BOSTON GREEN ACADEMY (FORMERLY KNOWN AS WILLIAM HOWARD TAFT SCHOOL) -,"20 WARREN STREET,", 
-71.167136,42.350913039713348,238,"Ward 22 Precincts 4, 7 and 13",22,7,OAK SQUARE YMCA -,"615 WASHINGTON STREET,", 
-71.16019,42.345580041001831,239,Ward 22 Precincts 8 and 9,22,8,THOMAS A. EDISON SCHOOL -,"60 GLENMONT ROAD,", 
-71.05441266,42.365273533304517,240,Ward 3 Precincts 2 and 3,3,2,NAZZARO COMMUNITY CENTER -,30 NORTH BENNETT STREET, 
-71.05441266,42.365273533304517,241,Ward 3 Precincts 2 and 3,3,3,NAZZARO COMMUNITY CENTER -,30 NORTH BENNETT STREET, 
-71.080211,42.296958040255319,242,Ward 14 Precinct 2,14,2,SARAH GREENWOOD SCHOOL -,"186 GLENWAY STREET,", 
-71.10911702,42.334237957250878,243,Ward 10 Precinct 4,10,4,ROBERT AND THERESA PARKS,COMMUNITY BUILDING -,"VOTER ENTRANCE 2 NEW WHITNEY STREET,"
-71.08538014,42.301288508264186,244,Ward 14 Precinct 6,14,6,ENDICOTT SCHOOL -,"2 MCCLELLAN STREET,", (FORMERLY KNOWN AS
-71.06430913,42.292237247119331,245,Ward 16 Precincts 3 and 6,16,3,SAINT MARK’S SCHOOL HALL -,197 A CENTRE STREET., 
-71.06430913,42.292237247119331,246,Ward 16 Precincts 3 and 6,16,6,SAINT MARK’S SCHOOL HALL -,197A CENTRE STREET., 
-71.11295,42.318500039932943,247,Ward 10 Precinct 9 and Ward 19 Precincts 1 and 3,19,1,CURLEY K-8 -," 493 CENTRE STREET,", (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL)
-71.11295,42.318500039932943,248,Ward 10 Precinct 9 and Ward 19 Precincts 1 and 3,19,3,CURLEY K-8 -," 493 CENTRE STREET,", (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL)
-71.10089709,42.339613616181026,249,Ward 4 Precinct 10,4,10,SIMMONS COLLEGE - LEFAVOUR HALL AND BEATLEY LIBRARY -,"2 AVENUE LOUIS PASTEUR,", 
-71.08386,42.332780039964035,250,Ward 9 Precinct 4,9,4,MADISON PARK COMPLEX,735 SHAWMUT AVENUE,VOTER ENTRANCE 735 SHAWMUT AVENUE
-71.08275693,42.290194476747274,251,Ward 14 Precinct 10,14,10,FRANKLIN FIELD ELDERLY COMMUNITY ROOM -,"100 AMES STREET,", 
-71.14845074,42.287997742830619,252,"Ward 20 Precincts 6, 7, 19 and 20",20,19,HOLY NAME PARISH HALL -,"535 WEST ROXBURY PARKWAY,", 
-71.14845074,42.287997742830619,253,"Ward 20 Precincts 6, 7, 19 and 20",20,20,HOLY NAME PARISH HALL -,"535 WEST ROXBURY PARKWAY,", 
-71.14845074,42.287997742830619,254,"Ward 20 Precincts 6, 7, 19 and 20",20,6,HOLY NAME PARISH HALL -,"535 WEST ROXBURY PARKWAY,", 
-71.14845074,42.287997742830619,255,"Ward 20 Precincts 6, 7, 19 and 20",20,7,HOLY NAME PARISH HALL -,"535 WEST ROXBURY PARKWAY,", 
