rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1.0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,,2007.0
5.0,Adelie,Torgersen,,19.3,193.0,3450.0,female,2007.0
7.0,Adelie,,38.9,17.8,181.0,3625.0,female,2007.0
8.0,Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007.0
13.0,,Torgersen,41.1,17.6,182.0,3200.0,female,2007.0
14.0,Adelie,Torgersen,38.6,21.2,,3800.0,male,2007.0
15.0,,Torgersen,34.6,21.1,198.0,4400.0,male,
17.0,Adelie,Torgersen,,,195.0,3450.0,female,2007.0
18.0,Adelie,Torgersen,,20.7,197.0,4500.0,male,2007.0
20.0,Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007.0
22.0,Adelie,Biscoe,37.7,18.7,180.0,3600.0,,2007.0
23.0,Adelie,Biscoe,35.9,19.2,189.0,3800.0,female,2007.0
25.0,Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,2007.0
26.0,Adelie,Biscoe,35.3,18.9,,3800.0,female,
27.0,Adelie,Biscoe,40.6,18.6,183.0,3550.0,male,2007.0
29.0,Adelie,,37.9,18.6,172.0,3150.0,,2007.0
30.0,Adelie,,40.5,18.9,180.0,3950.0,male,2007.0
32.0,Adelie,Dream,37.2,18.1,178.0,3900.0,male,2007.0
33.0,Adelie,Dream,39.5,17.8,188.0,3300.0,female,2007.0
34.0,Adelie,Dream,40.9,,184.0,3900.0,male,2007.0
36.0,Adelie,Dream,39.2,21.1,196.0,4150.0,male,2007.0
38.0,Adelie,Dream,42.2,18.5,180.0,3550.0,female,2007.0
,Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007.0
45.0,Adelie,Dream,37.0,16.9,,3000.0,female,2007.0
,Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007.0
,Adelie,,41.1,19.0,182.0,3425.0,male,2007.0
49.0,Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007.0
50.0,Adelie,Dream,42.3,21.2,191.0,,male,2007.0
51.0,,Biscoe,,17.7,186.0,3500.0,female,2008.0
52.0,Adelie,Biscoe,40.1,18.9,188.0,4300.0,,2008.0
53.0,Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,2008.0
54.0,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008.0
55.0,Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008.0
57.0,Adelie,Biscoe,,17.5,186.0,3550.0,female,2008.0
58.0,Adelie,Biscoe,40.6,,193.0,3800.0,male,2008.0
59.0,Adelie,Biscoe,36.5,16.6,,2850.0,female,2008.0
60.0,Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008.0
61.0,Adelie,Biscoe,35.7,16.9,185.0,,female,2008.0
,Adelie,Biscoe,41.3,,,4400.0,male,2008.0
63.0,Adelie,Biscoe,37.6,,185.0,3600.0,female,2008.0
65.0,Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2008.0
79.0,Adelie,Torgersen,36.2,16.1,,3550.0,female,2008.0
81.0,Adelie,Torgersen,34.6,17.2,189.0,,female,2008.0
83.0,Adelie,Torgersen,36.7,,187.0,3800.0,female,2008.0
84.0,Adelie,Torgersen,,19.4,193.0,4200.0,male,2008.0
85.0,Adelie,Dream,37.3,17.8,191.0,,female,2008.0
86.0,,Dream,41.3,20.3,194.0,3550.0,male,2008.0
87.0,Adelie,Dream,36.3,,190.0,3800.0,male,2008.0
89.0,Adelie,Dream,38.3,19.2,189.0,3950.0,male,2008.0
90.0,Adelie,Dream,38.9,18.8,190.0,3600.0,female,2008.0
91.0,Adelie,Dream,35.7,,202.0,,female,2008.0
92.0,,Dream,41.1,18.1,205.0,4300.0,male,2008.0
93.0,Adelie,Dream,34.0,17.1,185.0,3400.0,female,2008.0
94.0,Adelie,Dream,39.6,18.1,186.0,4450.0,male,2008.0
,Adelie,Dream,36.2,,187.0,3300.0,female,2008.0
,Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008.0
97.0,Adelie,Dream,38.1,18.6,190.0,3700.0,female,
98.0,Adelie,Dream,40.3,18.5,196.0,4350.0,male,2008.0
99.0,Adelie,Dream,33.1,16.1,178.0,2900.0,,2008.0
100.0,Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008.0
101.0,Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,2009.0
103.0,Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,2009.0
104.0,Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,2009.0
105.0,Adelie,,37.9,18.6,193.0,2925.0,female,2009.0
107.0,Adelie,Biscoe,,17.2,199.0,3750.0,female,2009.0
108.0,Adelie,Biscoe,38.2,20.0,190.0,3900.0,,2009.0
109.0,Adelie,Biscoe,38.1,17.0,,3175.0,female,2009.0
111.0,Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,2009.0
112.0,Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,2009.0
113.0,Adelie,Biscoe,39.7,,193.0,3200.0,female,2009.0
115.0,Adelie,Biscoe,,,191.0,3900.0,female,2009.0
,Adelie,Biscoe,,18.3,,4075.0,,
,Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,
118.0,Adelie,Torgersen,37.3,20.5,199.0,,,2009.0
119.0,,,,17.0,189.0,3350.0,female,2009.0
120.0,,Torgersen,41.1,18.6,189.0,3325.0,male,2009.0
121.0,Adelie,Torgersen,36.2,17.2,187.0,3150.0,female,2009.0
123.0,Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,
124.0,Adelie,Torgersen,41.4,18.5,202.0,3875.0,,2009.0
125.0,Adelie,Torgersen,35.2,15.9,,3050.0,female,2009.0
128.0,Adelie,Torgersen,41.5,18.3,195.0,4300.0,,2009.0
129.0,Adelie,,39.0,,191.0,,female,2009.0
130.0,Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,2009.0
131.0,Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,
132.0,,Torgersen,43.1,19.2,197.0,,male,2009.0
133.0,Adelie,Dream,36.8,18.5,193.0,3500.0,female,2009.0
134.0,Adelie,Dream,37.5,18.5,199.0,4475.0,male,2009.0
137.0,Adelie,Dream,35.6,17.5,191.0,3175.0,female,2009.0
139.0,Adelie,Dream,37.0,16.5,185.0,3400.0,female,2009.0
140.0,Adelie,Dream,39.7,17.9,,4250.0,male,2009.0
142.0,Adelie,Dream,40.6,17.2,187.0,3475.0,male,
143.0,Adelie,Dream,,,188.0,3050.0,,2009.0
144.0,Adelie,Dream,,17.0,190.0,3725.0,male,2009.0
145.0,Adelie,Dream,37.3,16.8,192.0,3000.0,female,2009.0
146.0,Adelie,,,18.7,185.0,3650.0,male,2009.0
148.0,Adelie,,,18.4,184.0,3475.0,female,2009.0
149.0,Adelie,Dream,36.0,17.8,195.0,3450.0,female,2009.0
151.0,Adelie,Dream,36.0,,187.0,3700.0,female,
,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,female,2007.0
154.0,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,male,2007.0
155.0,Gentoo,Biscoe,48.7,14.1,,4450.0,female,2007.0
158.0,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,female,2007.0
159.0,Gentoo,Biscoe,45.4,14.6,,4800.0,female,2007.0
161.0,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,female,2007.0
167.0,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,female,
168.0,Gentoo,,49.3,15.7,,5850.0,male,2007.0
170.0,Gentoo,Biscoe,49.2,15.2,,6300.0,male,2007.0
,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,2007.0
175.0,,Biscoe,46.5,14.5,213.0,4400.0,female,2007.0
178.0,Gentoo,Biscoe,46.1,15.1,215.0,,male,2007.0
180.0,,Biscoe,47.8,15.0,215.0,5650.0,,2007.0
181.0,Gentoo,Biscoe,48.2,14.3,,4600.0,female,2007.0
184.0,,Biscoe,42.8,14.2,209.0,4700.0,female,2007.0
188.0,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,2008.0
193.0,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,2008.0
194.0,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,2008.0
195.0,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,female,2008.0
196.0,Gentoo,Biscoe,49.6,15.0,216.0,,male,2008.0
198.0,,Biscoe,43.6,13.9,217.0,4900.0,female,2008.0
,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,2008.0
203.0,,Biscoe,46.6,14.2,210.0,4850.0,female,2008.0
205.0,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,,2008.0
206.0,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008.0
208.0,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008.0
209.0,,Biscoe,43.8,13.9,208.0,4300.0,female,2008.0
210.0,Gentoo,Biscoe,45.5,,220.0,5000.0,male,2008.0
211.0,,Biscoe,43.2,14.5,208.0,4450.0,female,2008.0
217.0,,,45.8,14.2,219.0,4700.0,female,2008.0
220.0,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,2008.0
221.0,,Biscoe,43.5,14.2,220.0,4700.0,female,2008.0
223.0,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008.0
224.0,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,2008.0
226.0,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,
229.0,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,2008.0
230.0,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008.0
239.0,Gentoo,Biscoe,43.4,14.4,,4600.0,female,2009.0
,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,male,2009.0
244.0,Gentoo,Biscoe,52.2,17.1,228.0,,male,2009.0
,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,2009.0
249.0,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,2009.0
250.0,Gentoo,Biscoe,46.9,,222.0,4875.0,female,2009.0
,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,male,2009.0
256.0,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,,2009.0
259.0,Gentoo,Biscoe,41.7,14.7,,4700.0,female,2009.0
260.0,,Biscoe,53.4,15.8,219.0,5500.0,male,2009.0
262.0,Gentoo,,48.1,15.1,209.0,5500.0,male,2009.0
264.0,Gentoo,Biscoe,,15.9,229.0,5950.0,male,2009.0
265.0,,Biscoe,43.5,,213.0,4650.0,female,2009.0
267.0,,Biscoe,,14.1,,4375.0,female,
268.0,Gentoo,Biscoe,55.1,16.0,230.0,,male,
273.0,Gentoo,Biscoe,46.8,14.3,,4850.0,female,
277.0,Chinstrap,Dream,46.5,17.9,192.0,3500.0,female,
278.0,Chinstrap,Dream,50.0,19.5,196.0,3900.0,male,2007.0
279.0,Chinstrap,Dream,51.3,19.2,193.0,3650.0,male,
280.0,,Dream,45.4,18.7,188.0,3525.0,female,2007.0
281.0,Chinstrap,Dream,52.7,19.8,197.0,3725.0,male,2007.0
,Chinstrap,Dream,45.2,17.8,198.0,3950.0,,2007.0
283.0,Chinstrap,,,18.2,178.0,3250.0,female,2007.0
284.0,Chinstrap,Dream,51.3,,197.0,3750.0,,2007.0
285.0,Chinstrap,Dream,46.0,18.9,195.0,4150.0,female,2007.0
286.0,Chinstrap,Dream,51.3,19.9,198.0,3700.0,male,2007.0
287.0,Chinstrap,Dream,46.6,17.8,193.0,3800.0,female,2007.0
288.0,Chinstrap,Dream,51.7,20.3,194.0,3775.0,male,2007.0
290.0,Chinstrap,Dream,,18.1,201.0,4050.0,male,
291.0,Chinstrap,Dream,45.9,,,3575.0,female,2007.0
293.0,Chinstrap,Dream,50.3,,197.0,3300.0,male,2007.0
294.0,Chinstrap,Dream,58.0,17.8,181.0,3700.0,female,
295.0,Chinstrap,Dream,46.4,18.6,190.0,3450.0,female,2007.0
296.0,Chinstrap,,49.2,18.2,195.0,,male,2007.0
297.0,Chinstrap,Dream,42.4,17.3,181.0,3600.0,female,2007.0
298.0,Chinstrap,Dream,48.5,,191.0,3400.0,male,2007.0
299.0,Chinstrap,Dream,43.2,16.6,187.0,2900.0,female,2007.0
301.0,Chinstrap,Dream,46.7,17.9,,3300.0,female,2007.0
303.0,,Dream,50.5,18.4,200.0,3400.0,female,2008.0
305.0,Chinstrap,Dream,46.4,17.8,191.0,3700.0,female,
306.0,Chinstrap,Dream,52.8,20.0,205.0,4550.0,male,2008.0
307.0,Chinstrap,Dream,40.9,16.6,187.0,3200.0,female,2008.0
308.0,Chinstrap,Dream,54.2,20.8,201.0,4300.0,male,2008.0
309.0,Chinstrap,Dream,42.5,16.7,187.0,3350.0,female,2008.0
310.0,,Dream,51.0,18.8,203.0,4100.0,,2008.0
311.0,,,49.7,,195.0,3600.0,male,2008.0
314.0,Chinstrap,Dream,52.0,20.7,210.0,4800.0,male,2008.0
315.0,Chinstrap,,,16.6,,2700.0,female,2008.0
316.0,Chinstrap,,53.5,19.9,205.0,,male,2008.0
317.0,Chinstrap,Dream,49.0,19.5,210.0,3950.0,male,2008.0
,Chinstrap,Dream,46.2,17.5,187.0,3650.0,female,2008.0
319.0,Chinstrap,Dream,50.9,19.1,196.0,3550.0,male,2008.0
,Chinstrap,Dream,45.5,17.0,,3500.0,,
,Chinstrap,Dream,50.8,18.5,201.0,4450.0,,2009.0
323.0,Chinstrap,Dream,50.1,17.9,190.0,3400.0,,2009.0
324.0,Chinstrap,Dream,49.0,19.6,212.0,4300.0,male,2009.0
325.0,Chinstrap,Dream,51.5,18.7,187.0,3250.0,male,2009.0
326.0,Chinstrap,Dream,49.8,17.3,198.0,3675.0,female,2009.0
327.0,Chinstrap,Dream,48.1,16.4,199.0,3325.0,female,
329.0,Chinstrap,Dream,45.7,17.3,193.0,3600.0,female,2009.0
330.0,Chinstrap,,50.7,19.7,203.0,4050.0,male,2009.0
331.0,Chinstrap,Dream,42.5,,,3350.0,female,2009.0
332.0,Chinstrap,Dream,52.2,18.8,197.0,3450.0,male,2009.0
333.0,Chinstrap,Dream,45.2,16.6,191.0,3250.0,female,2009.0
334.0,Chinstrap,Dream,49.3,19.9,203.0,4050.0,male,2009.0
336.0,Chinstrap,,,19.4,,3525.0,female,
338.0,Chinstrap,,46.8,16.5,189.0,3650.0,,2009.0
339.0,Chinstrap,Dream,,17.0,195.0,3650.0,female,2009.0
341.0,Chinstrap,Dream,43.5,18.1,202.0,,female,
342.0,Chinstrap,Dream,,18.2,193.0,3775.0,male,2009.0
344.0,,Dream,50.2,18.7,198.0,3775.0,female,
